episode,agent,is_bps,total_reward,remaining_shares,timestamp
7,Patient,3.4753,-340060.1248,5,2026-03-11T04:40:05.246163+00:00
8,Patient,5.2569,-513337.0934,5,2026-03-11T04:40:05.246256+00:00
9,Patient,5.1443,-503371.3987,5,2026-03-11T04:40:05.246342+00:00
10,Patient,2.4384,-238838.9126,5,2026-03-11T04:40:05.246427+00:00
11,Patient,5.1422,-503674.8427,5,2026-03-11T04:40:05.246517+00:00
12,Patient,6.888,-673994.6457,5,2026-03-11T04:40:05.246622+00:00
13,Patient,5.1377,-503236.4805,5,2026-03-11T04:40:05.246709+00:00
14,Patient,4.6025,-450351.8208,5,2026-03-11T04:40:05.246793+00:00
15,Patient,5.135,-502973.2109,5,2026-03-11T04:40:05.246885+00:00
16,Patient,5.1649,-505900.2655,5,2026-03-11T04:40:05.246972+00:00
17,Patient,5.1989,-506628.7788,5,2026-03-11T04:40:05.247058+00:00
18,Patient,5.1398,-503444.9856,5,2026-03-11T04:40:05.247143+00:00
19,Patient,5.1711,-504437.3572,5,2026-03-11T04:40:05.247228+00:00
20,Patient,5.1779,-506143.2767,5,2026-03-11T04:40:05.247314+00:00
21,Patient,5.1537,-504290.8237,5,2026-03-11T04:40:05.247403+00:00
22,Patient,4.1902,-410848.1514,5,2026-03-11T04:40:05.247490+00:00
23,Patient,11.7988,-1154516.4473,5,2026-03-11T04:40:05.247582+00:00
24,Patient,1.5873,-154680.0849,5,2026-03-11T04:40:05.247670+00:00
25,Patient,5.2001,-507788.3353,5,2026-03-11T04:40:05.247755+00:00
26,Patient,8.028,-782329.0343,5,2026-03-11T04:40:05.247841+00:00
27,Patient,17.7876,-1736955.0904,5,2026-03-11T04:40:05.247932+00:00
28,Patient,5.174,-504725.3439,5,2026-03-11T04:40:05.248021+00:00
29,Patient,5.2045,-509257.7462,5,2026-03-11T04:40:05.248109+00:00
30,Patient,2.3947,-234557.9023,5,2026-03-11T04:40:05.248197+00:00
31,Patient,8.6116,-840921.4305,5,2026-03-11T04:40:05.248285+00:00
32,Patient,10.1744,-997597.3142,5,2026-03-11T04:40:05.248373+00:00
33,Patient,8.0312,-782637.4696,5,2026-03-11T04:40:05.248465+00:00
34,Patient,5.1647,-505367.9823,5,2026-03-11T04:40:05.248561+00:00
35,Patient,5.1922,-505456.8603,5,2026-03-11T04:40:05.248646+00:00
36,Patient,5.1348,-502953.6766,5,2026-03-11T04:40:05.248733+00:00
37,Patient,7.6832,-752572.0833,5,2026-03-11T04:40:05.248822+00:00
38,Patient,4.0772,-398547.848,5,2026-03-11T04:40:05.248908+00:00
39,Patient,5.2237,-511140.9822,5,2026-03-11T04:40:05.248998+00:00
40,Patient,4.2581,-415803.2163,5,2026-03-11T04:40:05.249084+00:00
41,Patient,5.1799,-505301.3045,5,2026-03-11T04:40:05.249168+00:00
42,Patient,5.1815,-504420.7946,5,2026-03-11T04:40:05.249255+00:00
43,Patient,8.0013,-779724.2984,5,2026-03-11T04:40:05.249339+00:00
44,Patient,5.2618,-514345.8273,5,2026-03-11T04:40:05.249426+00:00
45,Patient,5.1684,-503143.6548,5,2026-03-11T04:40:05.249510+00:00
46,Patient,5.1503,-503440.2829,5,2026-03-11T04:40:05.249609+00:00
47,Patient,5.171,-507534.3274,5,2026-03-11T04:40:05.249716+00:00
48,Patient,5.1349,-502960.0422,5,2026-03-11T04:40:05.249804+00:00
49,Patient,6.6636,-651367.6751,5,2026-03-11T04:40:05.249912+00:00
0,Belief,5.3327,-520204.7138,0,2026-03-11T04:40:06.643966+00:00
1,Belief,2.7231,-266996.9953,0,2026-03-11T04:40:06.644330+00:00
2,Belief,5.1099,-500515.3403,0,2026-03-11T04:40:06.644474+00:00
3,Belief,5.2244,-512779.3096,0,2026-03-11T04:40:06.644600+00:00
4,Belief,4.6874,-456785.9643,0,2026-03-11T04:40:06.644698+00:00
5,Belief,-2.3614,231301.2192,0,2026-03-11T04:40:06.644789+00:00
6,Belief,2.2492,-219188.0514,0,2026-03-11T04:40:06.644879+00:00
7,Belief,5.078,-496885.1254,0,2026-03-11T04:40:06.644965+00:00
8,Belief,1.2394,-121643.9753,0,2026-03-11T04:40:06.645054+00:00
9,Belief,5.4924,-535230.3406,0,2026-03-11T04:40:06.645137+00:00
10,Belief,15.4527,-1512045.6321,0,2026-03-11T04:40:06.645224+00:00
11,Belief,-1.0224,100143.386,0,2026-03-11T04:40:06.645315+00:00
12,Belief,4.7627,-465549.561,0,2026-03-11T04:40:06.645403+00:00
13,Belief,4.5294,-444105.6117,0,2026-03-11T04:40:06.645488+00:00
14,Belief,12.8612,-1254606.3252,0,2026-03-11T04:40:06.645589+00:00
15,Belief,5.2461,-511233.0903,0,2026-03-11T04:40:06.645677+00:00
16,Belief,0.8139,-79234.4836,0,2026-03-11T04:40:06.645762+00:00
17,Belief,5.9357,-577844.616,0,2026-03-11T04:40:06.645849+00:00
18,Belief,5.1875,-507081.8245,0,2026-03-11T04:40:06.645935+00:00
19,Belief,13.4528,-1315007.4451,0,2026-03-11T04:40:06.646025+00:00
20,Belief,14.3418,-1401909.5139,0,2026-03-11T04:40:06.646118+00:00
21,Belief,6.3222,-619263.3048,0,2026-03-11T04:40:06.646209+00:00
22,Belief,5.1265,-502145.4025,0,2026-03-11T04:40:06.646299+00:00
23,Belief,5.102,-499745.6797,0,2026-03-11T04:40:06.646386+00:00
24,Belief,2.7003,-263410.1149,0,2026-03-11T04:40:06.646474+00:00
25,Belief,5.114,-500915.2504,0,2026-03-11T04:40:06.646571+00:00
26,Belief,4.8436,-473946.2332,0,2026-03-11T04:40:06.646660+00:00
27,Belief,5.1184,-501348.6386,0,2026-03-11T04:40:06.646747+00:00
28,Belief,5.0491,-494558.952,0,2026-03-11T04:40:06.646834+00:00
29,Belief,-2.301,223540.0867,0,2026-03-11T04:40:06.646920+00:00
30,Belief,4.6931,-458277.8488,0,2026-03-11T04:40:06.647008+00:00
31,Belief,1.0538,-102854.5457,0,2026-03-11T04:40:06.647094+00:00
32,Belief,5.1154,-501057.3491,0,2026-03-11T04:40:06.647179+00:00
33,Belief,5.126,-501576.4199,0,2026-03-11T04:40:06.647264+00:00
34,Belief,0.3262,-31756.9731,0,2026-03-11T04:40:06.647350+00:00
35,Belief,0.2389,-23401.1999,0,2026-03-11T04:40:06.647440+00:00
36,Belief,-7.914,772798.4281,0,2026-03-11T04:40:06.647526+00:00
37,Belief,5.11,-500523.014,0,2026-03-11T04:40:06.647628+00:00
38,Belief,5.0852,-496570.0053,0,2026-03-11T04:40:06.647717+00:00
39,Belief,5.2665,-512171.5958,0,2026-03-11T04:40:06.647803+00:00
40,Belief,5.1678,-504122.5253,0,2026-03-11T04:40:06.647891+00:00
41,Belief,5.3015,-517164.0831,0,2026-03-11T04:40:06.647994+00:00
42,Belief,4.493,-437843.9285,0,2026-03-11T04:40:06.648083+00:00
43,Belief,9.6621,-938668.1616,0,2026-03-11T04:40:06.648171+00:00
44,Belief,2.5093,-245284.292,0,2026-03-11T04:40:06.648259+00:00
45,Belief,5.1302,-501993.8016,0,2026-03-11T04:40:06.648344+00:00
46,Belief,5.1726,-506136.0012,0,2026-03-11T04:40:06.648430+00:00
47,Belief,5.152,-503604.0757,0,2026-03-11T04:40:06.648515+00:00
48,Belief,5.0863,-496165.135,0,2026-03-11T04:40:06.648870+00:00
49,Belief,4.9561,-486444.4362,0,2026-03-11T04:40:06.648960+00:00
episode,agent,is_bps,total_reward,remaining_shares,timestamp
0,Random,15.4237,-77118.397,0,2026-03-13T01:24:01.019764+00:00
1,Random,4.1884,-20952.5489,0,2026-03-13T01:24:01.020185+00:00
2,Random,6.8184,-34074.9405,0,2026-03-13T01:24:01.020345+00:00
3,Random,12.1067,-60533.3904,0,2026-03-13T01:24:01.020455+00:00
4,Random,17.197,-86027.7481,0,2026-03-13T01:24:01.020573+00:00
0,TWAP,11.9699,-59849.6917,0,2026-03-13T01:24:01.132644+00:00
1,TWAP,5.784,-28934.4932,0,2026-03-13T01:24:01.132932+00:00
2,TWAP,10.7497,-53721.6732,0,2026-03-13T01:24:01.133077+00:00
3,TWAP,7.9116,-39558.1928,0,2026-03-13T01:24:01.133185+00:00
4,TWAP,5.8725,-29377.0777,0,2026-03-13T01:24:01.133279+00:00
0,VWAP,11.9699,-59849.6917,0,2026-03-13T01:24:01.258306+00:00
1,VWAP,5.784,-28934.4932,0,2026-03-13T01:24:01.258721+00:00
2,VWAP,10.7497,-53721.6732,0,2026-03-13T01:24:01.258870+00:00
